sale_id,date_id,product_id,store_id,actual_sales,forecast_sales,forecast_lower_bound,forecast_upper_bound,units_sold,revenue,cost
1,1,4,1,418.5,373.24,317.26,429.23,9,418.5,236.61
2,1,18,2,1963.85,1686.82,1433.8,1939.85,5,1963.85,1144.52
3,1,17,10,1011.24,1076.77,915.26,1238.29,1,1011.24,662.56
4,1,14,4,1358.83,1484.97,1262.23,1707.72,15,1358.83,748.68
5,1,6,7,1287.16,1177.23,1000.64,1353.81,3,1287.16,855.35
6,1,4,2,585.62,646.67,549.67,743.67,13,585.62,375.13
7,1,2,8,4620.2,5205.53,4424.7,5986.36,5,4620.2,2595.72
8,1,10,10,1063.2,1128.45,959.18,1297.71,3,1063.2,592.07
9,1,8,5,253.84,281.75,239.49,324.01,3,253.84,154.09
10,1,15,6,169.48,154.71,131.51,177.92,6,169.48,100.0
11,2,3,10,3823.93,3531.18,3001.51,4060.86,2,3823.93,2368.31
12,2,9,9,821.24,905.71,769.86,1041.57,8,821.24,547.28
13,2,8,1,851.82,740.96,629.82,852.11,11,851.82,585.18
14,2,19,6,1075.42,1041.75,885.49,1198.02,7,1075.42,739.01
15,2,15,3,242.19,259.99,220.99,298.99,9,242.19,152.78
16,2,19,7,2774.04,2540.46,2159.39,2921.52,19,2774.04,1940.8
17,2,17,8,1050.11,1163.86,989.28,1338.44,1,1050.11,601.63
18,2,6,7,2049.02,1976.25,1679.82,2272.69,5,2049.02,1433.12
19,2,17,5,5355.42,4570.55,3884.97,5256.13,5,5355.42,3524.45
20,2,18,5,1104.01,1082.4,920.04,1244.76,3,1104.01,682.34
21,3,9,9,594.91,524.67,445.97,603.37,6,594.91,383.0
22,3,17,10,1859.27,2005.7,1704.84,2306.55,2,1859.27,1173.03
23,3,17,1,4819.33,4124.59,3505.9,4743.28,5,4819.33,3322.28
24,3,10,4,330.91,337.6,286.96,388.24,1,330.91,185.91
25,3,16,2,4207.4,3738.35,3177.6,4299.1,5,4207.4,2614.03
26,3,18,3,1203.63,1242.11,1055.8,1428.43,3,1203.63,836.1
27,3,18,4,1172.82,1233.23,1048.24,1418.21,3,1172.82,710.74
28,3,17,8,948.63,824.56,700.87,948.24,1,948.63,524.74
29,3,18,4,1883.37,1640.97,1394.83,1887.12,5,1883.37,1214.14
30,3,8,2,169.36,147.56,125.43,169.69,2,169.36,99.2
31,4,16,4,3701.22,4184.8,3557.08,4812.52,5,3701.22,2352.7
32,4,16,4,3392.55,3077.46,2615.84,3539.08,4,3392.55,1915.23
33,4,14,6,1223.85,1357.43,1153.82,1561.05,14,1223.85,683.06
34,4,4,1,666.07,726.14,617.22,835.06,13,666.07,377.26
35,4,7,4,2964.22,2894.75,2460.54,3328.96,5,2964.22,1754.17
36,4,8,2,1258.0,1392.34,1183.49,1601.19,15,1258.0,710.38
37,4,18,1,433.02,478.32,406.57,550.07,1,433.02,248.97
38,4,16,8,1714.54,1921.54,1633.31,2209.78,2,1714.54,985.34
39,4,1,7,4229.43,4591.21,3902.53,5279.89,3,4229.43,2507.15
40,4,18,8,748.51,685.12,582.35,787.88,2,748.51,418.25
41,5,18,1,1090.99,1118.54,950.76,1286.32,3,1090.99,682.33
42,5,17,3,1091.06,953.63,810.58,1096.67,1,1091.06,630.5
43,5,20,2,462.92,524.24,445.61,602.88,8,462.92,294.16
44,5,19,10,305.12,297.72,253.06,342.38,2,305.12,194.53
45,5,17,6,2819.73,3002.61,2552.22,3453.01,3,2819.73,1651.81
46,5,13,3,1774.69,2003.1,1702.63,2303.56,10,1774.69,1225.17
47,5,1,8,7142.49,8205.5,6974.68,9436.33,5,7142.49,4006.86
48,5,7,9,1664.9,1589.49,1351.07,1827.91,3,1664.9,932.88
49,5,8,6,735.92,809.61,688.17,931.05,10,735.92,482.42
50,5,20,9,60.98,61.98,52.68,71.28,1,60.98,42.06
51,6,5,5,556.22,596.67,507.17,686.17,4,556.22,318.89
52,6,10,10,728.38,663.61,564.07,763.15,2,728.38,469.9
53,6,9,9,1505.16,1689.46,1436.04,1942.88,16,1505.16,839.3
54,6,14,5,160.33,173.37,147.36,199.37,2,160.33,103.5
55,6,9,3,1500.35,1467.8,1247.63,1687.97,15,1500.35,827.37
56,7,5,9,275.27,282.08,239.77,324.39,2,275.27,157.51
57,7,5,1,1255.08,1418.15,1205.43,1630.87,10,1255.08,873.32
58,7,2,6,2070.75,2174.46,1848.29,2500.63,2,2070.75,1248.77
59,7,18,7,2094.54,2362.08,2007.76,2716.39,5,2094.54,1226.38
60,7,6,3,1625.3,1740.65,1479.55,2001.75,4,1625.3,974.9
61,8,8,5,501.24,442.31,375.96,508.66,6,501.24,341.26
62,8,16,4,1699.18,1678.95,1427.1,1930.79,2,1699.18,1012.34
63,8,8,4,81.53,79.05,67.19,90.9,1,81.53,48.25
64,8,3,5,5858.2,5681.89,4829.61,6534.18,3,5858.2,4084.18
65,8,18,6,368.3,420.28,357.24,483.32,1,368.3,212.43
66,8,9,1,403.65,384.96,327.22,442.71,4,403.65,269.62
67,8,14,10,1396.69,1564.09,1329.48,1798.7,17,1396.69,808.0
68,8,2,7,1002.98,1095.21,930.93,1259.49,1,1002.98,654.97
69,9,7,6,2189.93,2297.83,1953.16,2642.51,4,2189.93,1312.93
70,9,11,2,1992.83,2092.61,1778.72,2406.5,10,1992.83,1193.56
71,9,10,9,654.98,687.39,584.28,790.5,2,654.98,397.49
72,9,6,10,2155.63,2186.63,1858.63,2514.62,5,2155.63,1185.73
73,9,10,4,1475.78,1523.01,1294.56,1751.46,4,1475.78,883.02
74,9,15,8,203.45,221.38,188.17,254.59,7,203.45,141.19
75,9,6,2,1351.16,1405.05,1194.29,1615.81,3,1351.16,811.07
76,9,8,5,670.75,599.79,509.82,689.76,8,670.75,373.56
77,9,16,10,791.88,883.61,751.07,1016.15,1,791.88,503.91
78,9,13,8,2207.85,2311.22,1964.53,2657.9,13,2207.85,1216.15
79,10,14,4,566.48,599.77,509.81,689.74,6,566.48,351.04
80,10,18,4,395.53,431.29,366.6,495.98,1,395.53,257.15
81,10,18,10,1304.74,1457.95,1239.26,1676.64,3,1304.74,837.51
82,10,17,7,4940.97,4435.74,3770.38,5101.1,5,4940.97,3356.03
83,10,15,5,247.77,231.22,196.53,265.9,8,247.77,165.18
84,11,8,5,1084.86,1015.13,862.86,1167.4,15,1084.86,640.89
85,11,11,9,553.82,509.17,432.8,585.55,3,553.82,362.25
86,11,7,2,2351.72,2381.78,2024.52,2739.05,4,2351.72,1440.11
87,11,7,7,2590.0,2655.33,2257.03,3053.63,4,2590.0,1694.71
88,11,19,7,2148.41,2052.87,1744.94,2360.8,16,2148.41,1424.44
89,11,14,9,1698.08,1900.73,1615.62,2185.84,18,1698.08,1058.3
90,11,9,7,1434.8,1364.26,1159.62,1568.9,16,1434.8,935.3
91,11,13,3,2910.29,3330.01,2830.51,3829.51,15,2910.29,1833.83
92,12,19,10,136.6,133.68,113.62,153.73,1,136.6,92.89
93,12,6,1,1314.43,1200.73,1020.62,1380.84,3,1314.43,787.38
94,12,13,5,2381.84,2083.09,1770.63,2395.55,14,2381.84,1316.94
95,12,18,1,1130.98,984.61,836.92,1132.31,3,1130.98,784.44
96,12,2,1,1877.86,1607.67,1366.52,1848.82,2,1877.86,1075.75
97,12,5,8,522.6,478.38,406.63,550.14,4,522.6,342.26
98,12,12,3,3043.92,3270.32,2779.77,3760.87,20,3043.92,1726.45
99,12,6,5,456.07,514.75,437.53,591.96,1,456.07,290.23
100,13,13,4,546.89,601.13,510.96,691.3,3,546.89,320.71
101,13,10,10,369.68,376.99,320.44,433.54,1,369.68,205.6
102,13,18,7,1093.81,1142.22,970.89,1313.56,3,1093.81,603.67
103,13,14,8,351.27,336.74,286.23,387.26,4,351.27,240.17
104,13,15,3,379.7,382.18,324.85,439.51,14,379.7,245.88
105,13,20,9,937.37,1028.97,874.62,1183.31,16,937.37,598.86
106,13,11,4,570.6,562.18,477.85,646.51,3,570.6,378.07
107,13,19,10,1873.62,1870.42,1589.86,2150.98,13,1873.62,1121.83
108,14,7,6,1739.62,1938.1,1647.39,2228.82,3,1739.62,1139.76
109,14,9,9,99.33,90.12,76.6,103.64,1,99.33,58.23
110,14,14,8,1684.72,1781.05,1513.89,2048.21,18,1684.72,1089.82
111,14,16,8,733.97,672.67,571.77,773.57,1,733.97,479.85
112,14,10,10,1041.4,1051.06,893.4,1208.72,3,1041.4,639.24
113,14,18,6,1245.56,1159.96,985.97,1333.96,3,1245.56,732.03
114,14,4,4,497.99,503.35,427.84,578.85,11,497.99,330.83
115,14,6,4,940.85,877.77,746.1,1009.43,2,940.85,600.68
116,15,20,5,251.7,236.31,200.87,271.76,4,251.7,152.06
117,15,10,1,1614.68,1394.52,1185.35,1603.7,5,1614.68,901.28
118,15,10,3,1285.04,1097.01,932.46,1261.57,4,1285.04,761.58
119,15,16,8,2245.68,1943.44,1651.93,2234.96,3,2245.68,1552.13
120,15,16,2,783.13,683.07,580.61,785.53,1,783.13,504.66
121,15,2,3,2122.33,2408.29,2047.05,2769.53,2,2122.33,1194.4
122,15,8,2,1497.21,1544.96,1313.22,1776.71,18,1497.21,1001.05
123,15,8,9,1016.84,999.36,849.46,1149.27,13,1016.84,690.46
124,15,14,5,1731.93,1788.89,1520.56,2057.23,19,1731.93,1144.83
125,16,7,5,557.92,503.32,427.82,578.82,1,557.92,313.14
126,16,1,7,5392.79,5344.12,4542.5,6145.74,4,5392.79,2992.44
127,16,10,5,1276.27,1174.21,998.08,1350.34,4,1276.27,752.6
128,16,19,4,1925.28,1766.34,1501.39,2031.29,14,1925.28,1101.93
129,16,9,3,270.84,294.62,250.43,338.81,3,270.84,173.14
130,16,19,5,2067.09,2184.09,1856.48,2511.7,15,2067.09,1353.86
131,17,17,9,3946.26,4062.32,3452.97,4671.67,4,3946.26,2696.92
132,17,11,10,1621.16,1489.33,1265.93,1712.73,9,1621.16,1055.61
133,17,19,10,163.89,172.36,146.5,198.21,1,163.89,96.76
134,17,2,3,4011.16,3941.64,3350.39,4532.88,4,4011.16,2373.5
135,17,19,7,2607.65,2584.18,2196.56,2971.81,16,2607.65,1593.93
136,17,11,2,1153.36,1220.37,1037.31,1403.43,6,1153.36,684.21
137,17,13,9,354.77,335.02,284.77,385.28,2,354.77,212.32
138,18,17,1,4957.01,4294.07,3649.96,4938.18,5,4957.01,3111.84
139,18,20,8,931.02,848.22,720.99,975.45,15,931.02,588.76
140,18,10,8,1290.3,1473.45,1252.43,1694.47,4,1290.3,827.51
141,18,8,3,798.03,810.54,688.96,932.12,10,798.03,450.08
142,18,4,8,201.79,180.84,153.72,207.97,4,201.79,139.21
143,18,10,9,1029.3,1023.9,870.31,1177.48,3,1029.3,639.03
144,18,15,9,141.62,159.55,135.62,183.48,5,141.62,88.69
145,18,5,2,1224.32,1354.49,1151.32,1557.66,9,1224.32,735.79
146,19,9,1,1034.76,1139.52,968.59,1310.45,10,1034.76,659.13
147,19,16,3,3220.66,3071.02,2610.37,3531.67,4,3220.66,2037.99
148,19,18,7,1734.17,1926.45,1637.48,2215.42,4,1734.17,1208.92
149,19,8,10,972.27,1052.65,894.75,1210.54,13,972.27,541.12
150,19,16,7,3508.19,3815.93,3243.54,4388.32,4,3508.19,2272.62
151,19,5,8,238.71,272.04,231.23,312.85,2,238.71,143.18
152,19,4,8,197.02,194.47,165.3,223.64,4,197.02,129.71
153,19,14,3,265.37,302.72,257.32,348.13,3,265.37,159.43
154,19,13,2,2107.75,2334.97,1984.73,2685.22,11,2107.75,1279.41
155,20,16,9,817.77,752.7,639.8,865.61,1,817.77,533.73
156,20,10,4,344.39,302.9,257.47,348.34,1,344.39,222.15
157,20,4,8,305.41,342.37,291.01,393.73,6,305.41,170.08
158,20,2,5,2921.98,2611.29,2219.6,3002.98,3,2921.98,1839.9
159,20,19,3,835.9,863.36,733.86,992.86,6,835.9,507.71
160,20,8,8,1393.86,1377.62,1170.98,1584.26,19,1393.86,819.73
161,20,9,1,1604.16,1689.63,1436.19,1943.08,15,1604.16,920.3
162,21,12,10,1531.4,1496.63,1272.14,1721.12,10,1531.4,899.72
163,21,10,4,1494.65,1318.28,1120.53,1516.02,4,1494.65,907.56
164,21,12,10,1636.82,1536.27,1305.83,1766.71,10,1636.82,1140.36
165,21,13,5,181.36,191.47,162.75,220.19,1,181.36,120.01
166,21,2,10,4262.0,4777.2,4060.62,5493.78,4,4262.0,2840.03
167,21,8,10,894.72,811.55,689.82,933.28,12,894.72,525.73
168,21,5,2,248.14,243.74,207.18,280.3,2,248.14,158.05
169,21,5,2,1245.29,1213.73,1031.67,1395.79,10,1245.29,722.42
170,22,12,9,2742.47,3014.37,2562.21,3466.52,17,2742.47,1614.07
171,22,16,5,2542.85,2518.69,2140.89,2896.49,3,2542.85,1427.29
172,22,8,7,1383.83,1504.5,1278.83,1730.18,18,1383.83,763.99
173,22,18,2,1554.05,1670.15,1419.62,1920.67,4,1554.05,915.84
174,22,13,6,741.04,734.7,624.49,844.9,4,741.04,476.44
175,22,18,6,1883.83,1636.98,1391.43,1882.53,5,1883.83,1268.9
176,22,10,7,323.86,367.21,312.13,422.3,1,323.86,192.91
177,22,16,2,756.62,765.14,650.37,879.92,1,756.62,460.25
178,22,12,9,2122.44,2266.72,1926.71,2606.73,14,2122.44,1449.23
179,23,4,8,961.99,1092.3,928.45,1256.14,20,961.99,533.82
180,23,12,4,2210.28,2035.3,1730.0,2340.59,15,2210.28,1335.9
181,23,12,9,1630.85,1521.2,1293.02,1749.38,12,1630.85,1133.82
182,23,15,2,208.75,214.84,182.61,247.06,7,208.75,115.48
183,23,11,4,1052.11,959.06,815.2,1102.92,5,1052.11,709.62
184,23,18,4,1881.66,2090.36,1776.8,2403.91,5,1881.66,1127.65
185,23,5,10,123.25,141.15,119.98,162.32,1,123.25,86.05
186,23,18,5,735.74,816.63,694.13,939.12,2,735.74,419.21
187,23,12,4,2731.22,2464.31,2094.66,2833.95,19,2731.22,1523.64
188,23,14,9,373.49,370.83,315.21,426.45,4,373.49,249.01
189,24,19,2,2236.72,2535.6,2155.26,2915.94,15,2236.72,1244.74
190,24,17,5,4110.56,3532.39,3002.53,4062.25,4,4110.56,2876.52
191,24,13,7,714.61,802.44,682.07,922.8,4,714.61,400.91
192,24,3,6,8827.19,7837.28,6661.69,9012.88,5,8827.19,5681.6
193,24,19,9,1599.96,1646.71,1399.7,1893.71,11,1599.96,950.75
194,24,17,10,3675.66,3898.17,3313.44,4482.89,4,3675.66,2491.8
195,24,18,4,1580.54,1451.8,1234.03,1669.57,4,1580.54,949.65
196,24,15,7,424.64,400.76,340.65,460.88,14,424.64,253.46
197,24,9,6,513.5,509.53,433.1,585.96,5,513.5,289.45
